type,title,url,pubtimeStr
gongwen,国务院办公厅关于复制推广<em>营商</em>环境创新试点改革举措的通知,http://www.gov.cn/zhengce/zhengceku/2022-10/31/content_5722748.htm,2022.10.31
gongwen,国务院办公厅关于进一步优化<em>营商</em>环境降低市场主体制度性交易成本的意见,http://www.gov.cn/zhengce/zhengceku/2022-09/15/content_5709962.htm,2022.09.15
gongwen,国务院关于开展<em>营商</em>环境创新试点工作的意见,http://www.gov.cn/zhengce/zhengceku/2021-11/25/content_5653257.htm,2021.11.25
gongwen,国务院办公厅关于印发全国深化“放管服”改革优化<em>营商</em>环境电视电话会议重点任务分工方案的通知,http://www.gov.cn/zhengce/zhengceku/2020-11/10/content_5560234.htm,2020.11.10
gongwen,国务院办公厅关于进一步优化<em>营商</em>环境更好服务市场主体的实施意见,http://www.gov.cn/zhengce/content/2020-07/21/content_5528615.htm,2020.07.21
bumenfile,自然资源部 国务院国有资产监督管理委员会 国家税务总局 国家金融监督管理总局关于进一步提升不动产登记便利度促进<em>营商</em>环境优化的通知,https://www.gov.cn/zhengce/zhengceku/202402/content_6929540.htm,2024.02.01
bumenfile,中国人民银行 金融监管总局 中国证监会 国家外汇局 国家发展改革委 工业和信息化部 财政部 全国工商联关于强化金融支持举措 助力民营经济发展壮大的通知,https://www.gov.cn/zhengce/zhengceku/202311/content_6917272.htm,2023.11.27
bumenfile,国家税务总局办公厅 中华全国工商业联合会办公厅关于印发《2023年助力小微经营主体发展“春雨润苗”专项行动方案》的通知,https://www.gov.cn/zhengce/zhengceku/202306/content_6884277.htm,2023.06.02
bumenfile,商务部批准《电子商务产业基地建设与运营规范》等3项国内贸易行业标准的公告,http://www.gov.cn/zhengce/zhengceku/2023-02/25/content_5743272.htm,2023.02.25
bumenfile,关于印发长三角国际一流<em>营商</em>环境建设三年行动方案的通知,http://www.gov.cn/zhengce/zhengceku/2022-11/12/content_5726417.htm,2022.11.12
gongwen,优化<em>营商</em>环境条例,http://www.gov.cn/zhengce/zhengceku/2019-10/23/content_5443963.htm,2019.10.23
gongwen,国务院办公厅关于做好优化<em>营商</em>环境改革举措复制推广借鉴工作的通知,http://www.gov.cn/zhengce/zhengceku/2019-09/19/content_5431319.htm,2019.09.19
gongwen,国务院办公厅关于印发全国深化“放管服”改革优化<em>营商</em>环境电视电话会议重点任务分工方案的通知,http://www.gov.cn/zhengce/zhengceku/2019-08/12/content_5420694.htm,2019.08.12
gongwen,国务院办公厅关于聚焦企业关切进一步推动优化<em>营商</em>环境政策落实的通知,http://www.gov.cn/zhengce/zhengceku/2018-11/08/content_5338451.htm,2018.11.08
gongwen,国务院关于印发优化口岸<em>营商</em>环境促进跨境贸易便利化工作方案的通知,http://www.gov.cn/zhengce/zhengceku/2018-10/19/content_5332590.htm,2018.10.19
bumenfile,中国证监会 国家发展改革委 全国工商联关于推动债券市场更好支持民营企业改革发展的通知,http://www.gov.cn/zhengce/zhengceku/2022-07/23/content_5702437.htm,2022.07.23
bumenfile,市场监管总局办公厅关于开展儿童青少年近视防控产品违法违规商业营销宣传专项整治行动的通知,http://www.gov.cn/zhengce/zhengceku/2021-11/12/content_5650400.htm,2021.11.12
bumenfile,关于进一步深化跨境贸易便利化改革优化口岸<em>营商</em>环境的通知,http://www.gov.cn/zhengce/zhengceku/2021-08/31/content_5634513.htm,2021.08.31
bumenfile,国家知识产权局关于深化知识产权领域“放管服”改革优化创新环境和<em>营商</em>环境的通知,http://www.gov.cn/zhengce/zhengceku/2021-05/12/content_5605973.htm,2021.05.12
bumenfile,关于推动和保障管理人在破产程序中依法履职进一步优化<em>营商</em>环境的意见,http://www.gov.cn/zhengce/zhengceku/2021-02/27/content_5589177.htm,2021.02.27
gongwen,国务院办公厅关于部分地方优化<em>营商</em>环境典型做法的通报,http://www.gov.cn/zhengce/zhengceku/2018-08/03/content_5311523.htm,2018.08.03
gongwen,国务院转发关于尽快把国营农场办成农工商联合企业的座谈纪要,http://www.gov.cn/zhengce/zhengceku/2018-06/04/content_5293201.htm,2018.06.04
gongwen,国务院办公厅关于珠海经济特区试办国营外币免税商场的复函,http://www.gov.cn/zhengce/zhengceku/2011-11/15/content_2100.htm,2011.11.15
gongwen,国务院关于进一步改善外商投资企业生产经营条件的通知,http://www.gov.cn/zhengce/zhengceku/2013-08/27/content_5306.htm,2013.08.27
gongwen,国务院关于天津华联商厦与香港信德集团、天津立达(集团)公司与泰国正大集团合资经营商场的批复,http://www.gov.cn/zhengce/zhengceku/2010-12/17/content_4881.htm,2010.12.17
bumenfile,文化和旅游部关于进一步优化<em>营商</em>环境推动互联网上网服务行业规范发展的通知,http://www.gov.cn/zhengce/zhengceku/2020-12/11/content_5568870.htm,2020.12.11
bumenfile,税务总局等十三部门关于推进纳税缴费便利化改革优化税收<em>营商</em>环境若干措施的通知,http://www.gov.cn/zhengce/zhengceku/2020-09/29/content_5548147.htm,2020.09.29
bumenfile,国家发展改革委 国家能源局关于全面提升“获得电力”服务水平 持续优化用电<em>营商</em>环境的意见,http://www.gov.cn/zhengce/zhengceku/2020-09/27/content_5547582.htm,2020.09.27
bumenfile,国家发展改革委办公厅关于组织开展行业协会商会经营服务性收费清理规范工作的通知,http://www.gov.cn/zhengce/zhengceku/2020-09/09/content_5542025.htm,2020.09.09
bumenfile,人力资源社会保障部 教育部 全国总工会 全国工商联关于开展2020年全国民营企业招聘月活动的通知,http://www.gov.cn/zhengce/zhengceku/2020-06/27/content_5522202.htm,2020.06.27
gongwen,国务院关于同意广州佳景商业贸易开发总公司与香港正大天河投资有限公司合资经营广州正佳企业(商业)有限公司的批复,http://www.gov.cn/zhengce/zhengceku/2010-12/29/content_3742.htm,2010.12.29
gongwen,国务院关于整顿边地贸易经营秩序制止假冒伪劣商品出境的通知,http://www.gov.cn/zhengce/zhengceku/2016-10/20/content_5121943.htm,2016.10.20
gongwen,国务院关于北京市友谊商业服务总公司和新加坡新城集团有限公司合资经营北京燕莎友谊商城的批复,http://www.gov.cn/zhengce/zhengceku/2010-12/31/content_3770.htm,2010.12.31
gongwen,商业特许经营管理条例,http://www.gov.cn/zhengce/zhengceku/2008-03/28/content_4179.htm,2008.03.28
gongwen,国务院批转财政部关于对国营企业出口商品征收利润调节税报告的通知,http://www.gov.cn/zhengce/zhengceku/2013-09/30/content_2120.htm,2013.09.30
bumenfile,关于支持中小微企业和个体工商户发展 积极减免经营用房租金的通知,http://www.gov.cn/zhengce/zhengceku/2020-06/03/content_5516980.htm,2020.06.03
bumenfile,发展改革委 科技部 工业和信息化部 生态环境部 银保监会 全国工商联关于营造更好发展环境 支持民营节能环保企业健康发展的实施意见,http://www.gov.cn/zhengce/zhengceku/2020-05/25/content_5514758.htm,2020.05.25
bumenfile,民航局关于印发《民航优化<em>营商</em>环境实施细则》的通知,http://www.gov.cn/zhengce/zhengceku/2020-05/15/content_5511931.htm,2020.05.15
bumenfile,交通运输部关于做好公路养护工程招标投标工作进一步推动优化<em>营商</em>环境政策落实的通知,http://www.gov.cn/zhengce/zhengceku/2020-04/30/content_5507843.htm,2020.04.30
bumenfile,国家能源局综合司关于做好《优化<em>营商</em>环境条例》贯彻实施的通知,http://www.gov.cn/zhengce/zhengceku/2020-03/25/content_5495459.htm,2020.03.25
gongwen,国务院办公厅关于海南省人民政府在海口市试办国营外币免税商场的复函,http://www.gov.cn/zhengce/zhengceku/2011-11/15/content_2091.htm,2011.11.15
gongwen,国务院批转国家经贸委、外经贸部、内贸部关于赋予商业、物资企业进出口经营权试点意见的通知,http://www.gov.cn/zhengce/zhengceku/2010-12/07/content_4811.htm,2010.12.07
gongwen,国务院办公厅关于深圳市人民政府在深圳经济特区内试办国营外币免税商场的复函,http://www.gov.cn/zhengce/zhengceku/2011-11/15/content_2106.htm,2011.11.15
gongwen,国务院关于推进国内贸易流通现代化建设法治化<em>营商</em>环境的意见,http://www.gov.cn/zhengce/zhengceku/2015-08/28/content_10124.htm,2015.08.28
gongwen,国务院办公厅关于沈阳市自行决定向外商出让国营企业产权问题的通报,http://www.gov.cn/zhengce/zhengceku/2010-12/17/content_1568.htm,2010.12.17
bumenfile,商务部办公厅关于推动步行街加快恢复正常营业秩序的通知,http://www.gov.cn/zhengce/zhengceku/2020-03/28/content_5496519.htm,2020.03.28
bumenfile,商务部办公厅 国家发展改革委办公厅 国家卫生健康委办公厅关于支持商贸流通企业复工营业的通知,http://www.gov.cn/zhengce/zhengceku/2020-03/25/content_5495237.htm,2020.03.25
bumenfile,司法部 全国工商联 中华全国律师协会关于深入开展民营企业“法治体检”活动 服务疫情防控和企业复工复产的通知,http://www.gov.cn/zhengce/zhengceku/2020-03/21/content_5493858.htm,2020.03.21
bumenfile,国家发展改革委办公厅 民政部办公厅关于积极发挥行业协会商会作用 支持民营中小企业复工复产的通知,http://www.gov.cn/zhengce/zhengceku/2020-02/28/content_5484685.htm,2020.02.28
bumenfile,商务部办公厅关于组织做好商贸企业复工营业工作的通知,http://www.gov.cn/zhengce/zhengceku/2020-02/06/content_5475370.htm,2020.02.06
gongwen,国务院办公厅关于汕头经济特区试办国营外币免税商场的复函,http://www.gov.cn/zhengce/zhengceku/2011-11/15/content_2095.htm,2011.11.15
bumenfile,商务部、国家卫生健康委联合印发《零售、餐饮企业在新型冠状病毒流行期间经营服务防控指南》,http://www.gov.cn/zhengce/zhengceku/2020-02/07/content_5475725.htm,2020.02.07
bumenfile,市场监管总局关于贯彻落实《优化<em>营商</em>环境条例》的意见,http://www.gov.cn/zhengce/zhengceku/2020-01/14/content_5468806.htm,2020.01.14
bumenfile,国家知识产权局印发《关于深化知识产权领域“放管服”改革 营造良好<em>营商</em>环境的实施意见》的通知,http://www.gov.cn/zhengce/zhengceku/2020-01/14/content_5468803.htm,2020.01.14
bumenfile,交通运输部 工业和信息化部 公安部 商务部 市场监管总局 国家网信办关于修改《网络预约出租汽车经营服务管理暂行办法》的决定,http://www.gov.cn/zhengce/zhengceku/2020-01/15/content_5469168.htm,2020.01.15
bumenfile,商务部关于认定首批国家级国际营销服务公共平台的通知,http://www.gov.cn/zhengce/zhengceku/2019-11/28/content_5456638.htm,2019.11.28
bumenfile,自然资源部办公厅关于推广京沪两地优化<em>营商</em>环境登记财产指标主要改革举措的函,http://www.gov.cn/zhengce/zhengceku/2019-11/22/content_5454564.htm,2019.11.22
bumenfile,关于印发《全国税务系统进一步优化税收<em>营商</em>环境行动方案（2018年—2022年）》的通知,http://www.gov.cn/zhengce/zhengceku/2019-10/25/content_5445120.htm,2019.10.25
bumenfile,关于贯彻落实全国深化“放管服”改革转变政府职能电视电话会议精神 优化税收<em>营商</em>环境有关事项的通知,http://www.gov.cn/zhengce/zhengceku/2019-10/25/content_5445107.htm,2019.10.25
bumenfile,生态环境部全国工商联关于支持服务民营企业绿色发展的意见,http://www.gov.cn/zhengce/zhengceku/2019-10/10/content_5438132.htm,2019.10.10
bumenfile,商务部 财政部 税务总局 统计局 外汇局关于开展2019年外商投资企业年度投资经营信息联合报告的通知,http://www.gov.cn/zhengce/zhengceku/2019-10/10/content_5437814.htm,2019.10.10
bumenfile,国家能源局综合司关于印发进一步推动优化<em>营商</em>环境政策落实实施方案的通知,http://www.gov.cn/zhengce/zhengceku/2019-09/26/content_5433336.htm,2019.09.26
bumenfile,商务部批准《商品交易市场建设与经营管理术语》等11项国内贸易行业标准的公告,http://www.gov.cn/zhengce/zhengceku/2018-12/31/content_5438695.htm,2018.12.31
bumenfile,市场监管总局关于做好电子商务经营者登记工作的意见,http://www.gov.cn/zhengce/zhengceku/2018-12/31/content_5449162.htm,2018.12.31
bumenfile,商务部 财政部 税务总局 质检总局 统计局 外汇局关于开展2018年外商投资企业年度投资经营信息联合报告的通知,http://www.gov.cn/zhengce/zhengceku/2018-12/31/content_5445284.htm,2018.12.31
bumenfile,商务部关于公布2018年第二批成品油（燃料油）新增非国营贸易进口企业的通知,http://www.gov.cn/zhengce/zhengceku/2018-12/31/content_5437000.htm,2018.12.31
bumenfile,交通运输部关于修改《小型航空器商业运输运营人运行合格审定规则》的决定（中华人民共和国交通运输部令2018年第39号）,http://www.gov.cn/zhengce/zhengceku/2018-12/31/content_5443269.htm,2018.12.31
